zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.55,284,-97.73923,30.25757,20,351
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.86,283,-97.73776,30.25568,28,287
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,2,3,1,4.86,278,-97.74002,30.25588,21,313
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,2,4.87,277,-97.73768,30.2576,23,345
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.93,274,-97.73781,30.25528,41,291
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.9,274,-97.73964,30.25573,21,275
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,272,-97.738174,30.257587,7,358
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.83,269,-97.73944,30.25576,6,342
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.83,269,-97.7377,30.2559,24,352
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.86,269,-97.73788,30.257,14,282
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.89,268,-97.73989,30.25555,27,296
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.85,267,-97.73849,30.25749,13,330
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.71,267,-97.73905,30.25545,14,329
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,2,5.0,265,-97.73939,30.25572,6,356
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.7,263,-97.73836,30.25545,10,361
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.91,261,-97.73797,30.25536,22,329
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.94,260,-97.73813,30.25555,16,338
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.83,259,-97.73834,30.2576,36,312
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,2,5.0,258,-97.73967,30.255665,6,344
