id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
48066377,10768114,78704,Greater South River City,Entire home,Entire home/apt,6,3.0,3.0,2,4.81,375,-97.75257,30.23368,322
17343624,10771463,78721,MLK & 183,Private room in home,Private room,4,2.0,2.0,2,5.0,40,-97.68582,30.2604,0
52879862,10778439,78702,Chestnut,Private room in home,Private room,2,1.0,2.0,2,5.0,78,-97.71212,30.28067,0
52072017,10778439,78702,Chestnut,Entire home,Entire home/apt,5,3.0,3.0,3,4.33,344,-97.71230356041988,30.280684927157854,19
51695769,10778439,78702,Chestnut,Private room in home,Private room,1,1.0,1.0,2,4.88,107,-97.71286,30.27912,0
2311118,10793384,78759,"Great Hills, Arboretum",Private room in home,Private room,4,1.0,1.0,1,4.93,99,-97.7761,30.41738,0
53921838,10812915,78704,Zilker,Entire condo,Entire home/apt,2,1.0,1.0,30,5.0,100,-97.76198,30.25808,74
54067874,10813676,78744,South Creek South,Private room in guest suite,Private room,2,1.0,1.0,1,4.97,92,-97.76211,30.17964,0
33734903,10813971,78728,Wells Branch,Private room in rental unit,Private room,2,1.0,1.0,1,0.0,85,-97.69465,30.44193,0
673799890297593374,10823023,78702,East Cesar Chavez,Entire home,Entire home/apt,4,2.0,2.0,30,4.93,400,-97.72829,30.25332,349
620263563118695332,10826970,78704,Zilker,Entire home,Entire home/apt,8,4.0,3.0,2,5.0,444,-97.7658,30.226791,258
810796656917828375,10854066,78702,Blackshear-Prospect Hill,Entire home,Entire home/apt,5,2.0,3.0,3,4.93,409,-97.71873862002396,30.264340366854015,24
556502769793142536,10857626,78702,East Cesar Chavez,Entire rental unit,Entire home/apt,4,1.0,1.0,1,4.93,800,-97.73446,30.26282,365
2391847,10895151,78752,Highland,Private room in home,Private room,1,1.0,1.0,1,4.93,200,-97.7115,30.33782,0
14915418,10903557,78759,High Vista,Entire guesthouse,Entire home/apt,4,1.0,1.0,2,4.93,1500,-97.78908,30.41624,335
19643938,10906547,78741,Parker Lane,Entire rental unit,Entire home/apt,3,1.0,1.0,2,4.86,75,-97.74534,30.22603,0
49688655,10908556,78722,Cherrywood,Entire cottage,Entire home/apt,2,1.0,1.0,20,5.0,172,-97.72016,30.28458,149
45940721,10917374,78703,Old West Austin,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,4.95,192,-97.76121,30.2867,63
4204808,10921161,78746,Barton Hills,Entire rental unit,Entire home/apt,4,1.0,1.0,2,4.93,250,-97.79326,30.25708,0
52773926,10930913,78732,Parkland Hills,Entire cabin,Entire home/apt,4,2.0,2.0,1,4.98,337,-97.88585,30.4169,159
5600950,10930927,78745,West Congress,Entire rental unit,Entire home/apt,2,1.0,1.0,1,4.93,400,-97.77223,30.21986,0
38251338,10935045,78723,"Windsor Park, Mueller",Entire home,Entire home/apt,8,4.0,6.0,4,5.0,452,-97.69951,30.29938,51
16857951,10935522,78704,South Congress,Entire rental unit,Entire home/apt,6,2.0,3.0,2,4.93,425,-97.74843,30.25359,0
